id,word,fast_meaning,example_sentence,source,sort_order,created_at,updated_at
1,aberrant,departing from the norm,The aberrant result was removed only after the lab found a recording error. | Such aberrant behavior is unusual for him. | The software crashed due to an aberrant code loop. | They studied the aberrant cell growth. | The weather has been completely aberrant lately.,sat_300_plus_vocab_dataset,11,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
2,abstruse,difficult to understand,The philosopher translated abstruse arguments into examples his audience could follow. | The physics lecture was far too abstruse. | She enjoys reading abstruse philosophical texts. | The manual was filled with abstruse terminology. | He struggled with the abstruse mathematical proof.,sat_300_plus_vocab_dataset,15,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
3,acerbic,sharp and biting in tone,His acerbic review mocked the film more than it analyzed it. | The comedian is known for his acerbic wit. | She wrote an acerbic letter to the editor. | His acerbic comments hurt her feelings. | The manager's acerbic tone created a hostile environment.,sat_300_plus_vocab_dataset,17,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
4,acrimonious,bitter and angry in tone,"The debate grew acrimonious when participants stopped addressing the evidence and began attacking one another. | The acrimonious exchange changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its acrimonious exchange became clear once the evidence was examined. | In the debate, the speaker’s acrimonious exchange mattered as much as the facts he presented. | A careful reader would notice how the acrimonious exchange reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100004,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
5,adamant,firmly unwilling to change,"Although the committee suggested revisions, the architect remained adamant that the original design was structurally sound. | The adamant witness changed the passage’s tone, making the author’s attitude unmistakable. | Although the claim first appeared plausible, its adamant witness became clear once the evidence was examined. | In the debate, the speaker’s adamant witness mattered as much as the facts he presented. | A careful reader would notice how the adamant witness reveals a deeper conflict beneath the surface.",sat_300_plus_vocab_dataset,100005,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
6,adroit,skillful and clever,An adroit negotiator can reveal disagreement without ending the conversation. | The mechanic was adroit at fixing old engines. | She made an adroit maneuver to avoid the crash. | His adroit handling of the press saved the campaign. | The adroit thief bypassed the alarm.,sat_300_plus_vocab_dataset,21,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
7,adulation,excessive and uncritical praise,The scientist valued careful criticism more than the adulation of admirers. | The pop star basked in the adulation of her fans. | He sought adulation from everyone he met. | Such blind adulation can be dangerous. | The team received massive adulation after the win.,sat_300_plus_vocab_dataset,22,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
8,affable,warm and easygoing,The affable host made even shy visitors feel included. | The new neighbor is incredibly affable. | She has an affable personality that draws people in. | He gave an affable wave to the crowd. | The affable clerk answered all our questions.,sat_300_plus_vocab_dataset,23,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
9,alacrity,eager readiness to act,She accepted the difficult assignment with alacrity because it matched her interests. | He responded to the emergency with alacrity. | They packed their bags with alacrity for the trip. | The dog fetched the ball with joyful alacrity. | She jumped at the opportunity with alacrity.,sat_300_plus_vocab_dataset,26,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
10,alienate,cause others to feel estranged,"The mayor’s dismissive comments threatened to alienate voters who had previously supported her. | The editorial tried to alienate moderate voters, but its evidence was too thin to persuade careful readers. | Rather than alienate moderate voters, the author acknowledged uncertainty and strengthened the argument. | The committee’s attempt to alienate moderate voters became a central issue in the investigation. | In the final paragraph, new testimony helps alienate moderate voters and changes the reader’s interpretation.",sat_300_plus_vocab_dataset,100010,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:17.012665+00
11,allay,reduce fear or worry,Transparent data helped allay concerns about the vaccine's safety. | The principal spoke to allay the students' anxiety. | Nothing could allay his suspicion of the stranger. | The government tried to allay fears of a recession. | A warm cup of tea helped allay her nerves.,sat_300_plus_vocab_dataset,28,2026-05-14 21:53:21.843548+00,2026-05-19 22:10:19.21454+00
